codcar,carrera
5051,(SubSede) Diplomatura en Inteligencia Estratégica y Seguridad Pública
5052,(SubSede) Gestión de Calidad Analítica según ISO 15189:2012
5053,(SubSede) Curso de Formación Financiera del Estado NICS
5054,Postgrado en Docencia Superior Universitaria
843,Diplomatura en Liderazgo Consciente
844,Diplomatura en Seguridad Informática
341,Licenciatura en Podología  -  Ciclo de Complementación Curricular
4010,Perito Clasificador de Granos
852,Primer Congreso Internacional de Estética Odontológica
1003,Diplomatura Universitaria en Gestión Integral Minera con Orientación en Litio
822,Curso de Clínica y Diagnóstico en Estomatología
830,Abordaje integral para el cuidado de niños y adolescentes
846,Curso: Cuestiones Actuales del Derecho Tributario ALUMNOS
851,Curso Perito Clasificador de Granos
860,Congreso de Economía 
862,Introducción a la Criminalística
865,Diplomatura en Evaluación de la Calidad de las Organizaciones de la Salud
868,Curso de Acompañamiento Terapéutico en Salud Mental
867,Aspectos Practicos en la Proteccion de los Derechos de Usuarios y Consumidores.
10069,Curso Metodología de la Gestión de la Seguridad mediante un enfoque Compartamental
874,Curso  RCP-DEA (Reanimación Cardiopulmonar)y OVACE (Obstrucción de Vía Área por Cuerpo Extraño)
876,Geología para no Geólogos. Introducción a la Geología del Norte de la Argentina
343,Profesorado Universitario en Educación Primaria
132,Licenciatura en Ciencias Políticas
249,Profesorado en Campo Disciplinar según Titulación de Base
0,Sin Carrera - Sin Modo
244,Corredor Inmobiliario y Martillero Público
97,Tecnicatura Universitaria en Seguros
879,Neuromarketing
880,Neuroventas
881,Neuromanagement
861,Actualización Docente: Los Nuevos Desafíos de la ESI
345,Especialización en Logística
861,Actualización Docente: Los Nuevos Desafíos de la ESI
889,Prevención y lucha contra el lavado de activos
886,Congreso iberoamericano de investigadores y docentes de derecho e informática
818,Curso de inglés (docentes y egresados)
817,Curso de inglés (personal administrativo)
816,Cursos de inglés (alumnos)
807,Diplomatura en argumentación jurídica
888,"Diplomatura univ. en recreación, acción y promoción comunitaria"
887,Diplomatura en Conservación y Restauración de Bienes Muebles
884,Diplomatura universitaria en delitos de corrupción pública y privada-compliance
893,Formación de auditores internos y líderes (iso 19011) para sist. de gestión de calidad en lab. clínicos
895,Monitoreo de ensayos clínicos y normas de buenas practicas
831,Técnicas de rescate en el agua
883,Diplomatura en Neurociencias
902,Almuerzo con Sergio Berensztein
811,Diplomatura en Análisis Forense e Investigación Digital
897,Diplomatura universitaria en litigación oral y escrita
900,Jornadas sobre violencia
906,Jornadas sobre la reforma tributaria
903,Diplomatura univ. En investigación Jurídica
781,Diplomatura en Inteligencia Estratégica y Seguridad Pública
910,Taller de Hidrología Urbana
908,Curso de posgrado Filosofía de la Economía
854,Curso de Postgrado en Dirección y Evaluación de Proyectos - Nivel Inicial
909,Curso de Tecnología Digital para el Diseño
10106,Jornadas de Introducción Nuevos Juegos y Deportes del Mundo
912,ABC en Autismo Trastornos del Espectro Autista
10107,Baloncesto Formativo - La Preparación Física
911,Curso Intensivo de Inglés
